Vehicle ID,Average Speed (Km/h)
1,74.45
0,62.04
2,20.87
3,28.99
4,21.59
6,9.3
9,96.44
8,21.57
12,63.48
13,7.55
14,48.68
15,16.76
16,57.05
17,0.0
18,27.56
19,4.5
20,0.0
23,49.88
26,111.1
25,140.05
27,98.48
28,126.64
29,90.52
33,161.02
35,14.31
36,24.81
38,22.94
40,0.0
42,9.41
41,58.37
45,49.94
46,19.33
48,43.3
49,27.7
50,22.52
51,16.43
53,59.29
54,525.64
55,43.05
56,89.79
57,54.45
58,43.69
59,58.69
61,8.12
63,28.31
65,23.11
68,28.75
69,143.93
70,22.77
74,59.95
75,111.57
77,178.84
79,121.79
81,21.02
82,17.26
83,0.0
84,11.56
85,0.0
86,5.43
88,31.31
90,13.08
89,11.13
91,84.53
92,8.06
93,16.96
94,12.85
95,21.69
96,47.89
98,162.11
100,432.68
101,223.97
104,52.21
105,40.33
106,47.24
107,5693.81
108,1116.93
109,13.05
110,26.41
111,266.66
112,633.8
113,49.34
118,1067.37
120,1684.93
121,13.43
123,11.13
125,125.47
126,55.7
127,0.0
130,46.0
131,13.81
133,26.91
134,7.03
138,0.0
140,17.25
142,3.95
143,12.83
144,44.64
145,0.0
146,12.09
148,0.0
150,0.0
151,17.46
154,42.26
155,52.09
156,56.64
158,11.17
162,5.47
164,3.14
165,69.6
166,7.31
168,16.32
169,8.14
174,2.97
175,2.5
177,12.76
178,4.19
179,53.59
180,4.87
181,36.68
182,13.13
183,5.31
184,33.23
185,8.75
186,36.57
187,0.0
188,8.6
189,23.1
190,27.46
191,78.17
192,88.02
195,0.0
196,63.8
197,0.0
198,28.43
199,28.14
200,0.0
203,0.0
204,0.0
205,5.87
206,77.37
207,119.82
209,0.0
215,5.8
218,0.0
221,63.65
222,747.69
223,32.54
225,51.58
226,24.13
227,5.36
228,8.01
229,35.65
230,45.84
231,125.71
232,837.39
234,0.0
235,490.2
236,28.32
237,255.92
238,7.96
240,14.29
242,13.59
245,17.03
246,22.62
247,25.34
248,29.57
249,0.0
250,17.05
257,11.42
259,0.0
260,15.68
261,10.76
264,2.6
265,14.55
267,20.77
268,0.0
269,16.72
271,16.18
272,8.13
273,102.63
277,0.0
279,24.63
280,16.83
284,0.0
286,0.0
288,18.21
289,0.0
292,9.59
293,1.69
296,0.0
297,46.42
298,10.65
299,10.07
300,8.37
302,10.43
303,7.25
304,61.46
305,0.0
306,63.58
309,25.22
310,9.66
311,10.19
312,1.19
313,0.0
314,3695.88
316,5.2
317,33.74
318,0.0
319,11.97
320,0.0
321,7.71
322,0.0
323,0.0
324,5.42
325,39.65
327,16.42
328,0.0
330,57.11
329,14.9
331,41.99
332,16.07
333,22.64
334,45.14
335,11.89
336,38.14
337,826.23
338,32.37
339,6.53
340,7.64
341,0.0
342,2.87
343,5.3
344,5.98
345,0.0
347,18.16
348,5.48
349,58.72
350,10.13
351,7.1
354,0.0
357,16.45
358,40.27
359,9.27
360,10.59
361,1948.32
362,160.77
363,13.36
364,89.31
365,12.31
366,39.5
367,840.51
369,211.81
370,12.35
371,83.42
372,1638.94
373,114.99
374,28.24
375,31.47
376,134.14
377,315.69
378,25.0
383,102.03
384,3.03
385,0.99
386,0.0
387,2.19
388,1.52
389,76.43
390,0.0
391,2.4
392,0.0
393,65.23
394,84.3
395,0.0
396,40.07
398,5.33
400,41.91
401,0.0
402,9.31
403,29.05
404,29.81
405,0.0
